"id","trading_date","source","trading_side","transaction_type","stratergy_id","strategy_ids","target","stop_loss","target_pct","sl_pct","max_sl_points","trail_ladder","min_option_price","max_option_price","no_of_trades","no_of_parrellel_trades","itm_depth","otm_depth","atm_depth","lot_quantity","max_loss","is_active"
"1070","2024-01-02","AUTO_DOWNTREND","PE","SELL","1","1,2","25.11","37.67","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1071","2024-01-03","AUTO_DOWNTREND","CE","SELL","1","1,2","39.56","59.33","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1072","2024-01-04","AUTO_DOWNTREND","CE","SELL","1","1,2","41.69","62.53","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1073","2024-01-05","AUTO_DOWNTREND","CE","SELL","1","1,2","33.34","50.01","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1074","2024-01-05","AUTO_DOWNTREND","PE","SELL","1","1,2","29.44","44.16","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1075","2024-01-09","AUTO_DOWNTREND","CE","SELL","1","1,2","41.93","62.90","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1076","2024-01-10","AUTO_DOWNTREND","CE","SELL","1","1,2","34.25","51.37","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1077","2024-01-10","AUTO_DOWNTREND","PE","SELL","1","1,2","12.70","19.05","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1078","2024-01-11","AUTO_DOWNTREND","CE","SELL","1","1,2","23.45","35.18","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1079","2024-01-12","AUTO_DOWNTREND","CE","SELL","1","1,2","23.45","35.18","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1080","2024-01-12","AUTO_DOWNTREND","PE","SELL","1","1,2","18.44","27.65","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1081","2024-01-16","AUTO_DOWNTREND","PE","SELL","1","1,2","51.80","77.69","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1082","2024-01-17","AUTO_DOWNTREND","PE","SELL","1","1,2","32.19","48.29","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1083","2024-01-18","AUTO_DOWNTREND","CE","SELL","1","1,2","67.03","100.55","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1084","2024-01-19","AUTO_DOWNTREND","CE","SELL","1","1,2","74.40","111.60","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","2","2","0","75","200.00","1"
"1085","2024-01-24","AUTO_DOWNTREND","CE","SELL","1","1,2","79.95","120.26","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","3","3","0","75","200.00","1"
"1086","2024-01-25","AUTO_DOWNTREND","CE","SELL","1","1,2","42.28","63.42","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","3","3","0","75","200.00","1"
"1087","2024-01-29","AUTO_DOWNTREND","CE","SELL","1","1,2","53.72","80.58","0.2000","0.3000","60.0000","25:2,50:25,75:50,100:75","80.0000","250.0000","5","1","3","3","0","75","200.00","1"
