"id","trade_config_id","instrument_name","instrument_token","option_strike","option_type","option_token","entry_direction","entry_time","entry_price","exit_time","exit_price","profit","status","entry_broker_order_id","exit_broker_order_id","fill_status","peak_profit","peak_loss","last_monitored_price","last_monitored_at","exit_reason","target_at_entry","stop_loss_at_entry","entry_reason","strategy_id","lot_quantity_at_entry","quantity","trail_ladder_at_entry","trail_sl_at"
"1257","1052","NIFTY","HIST:NIFTY:NSE:SPOT","23400","CE","HIST:NIFTY:NFO:2025-01-09:23400:CE","SELL","2025-01-09 12:20:00","184.5000","2025-01-09 12:45:00","136.2000","48.3000","CLOSED","NULL","NULL","BACKTEST","48.3000","0.0000","136.2000","2025-01-09 12:45:00","TARGET","47.9200","71.8800","5min/SMA100","1","0","75","NULL","NULL"
"1258","1052","NIFTY","HIST:NIFTY:NSE:SPOT","23400","CE","HIST:NIFTY:NFO:2025-01-09:23400:CE","SELL","2025-01-09 12:20:00","184.5000","2025-01-09 12:45:00","136.2000","48.3000","CLOSED","NULL","NULL","BACKTEST","48.3000","0.0000","136.2000","2025-01-09 12:45:00","TARGET","47.9200","71.8800","5min/SMA100","2","0","75","NULL","NULL"
"1260","1055","NIFTY","HIST:NIFTY:NSE:SPOT","23100","CE","HIST:NIFTY:NFO:2025-01-16:23100:CE","SELL","2025-01-14 09:30:00","171.3000","2025-01-14 15:15:00","177.5000","-6.2000","CLOSED","NULL","NULL","BACKTEST","30.1500","-52.9000","181.0000","2025-01-14 15:10:00","SIGNAL","72.1200","108.1800","5min/SMA50","1","0","75","NULL","NULL"
"1261","1056","NIFTY","HIST:NIFTY:NSE:SPOT","23100","CE","HIST:NIFTY:NFO:2025-01-16:23100:CE","SELL","2025-01-15 09:25:00","156.4500","2025-01-15 13:40:00","110.8500","45.6000","CLOSED","NULL","NULL","BACKTEST","45.6000","-57.4500","110.8500","2025-01-15 13:40:00","TARGET","43.0700","64.6100","5min/SMA100","1","0","75","NULL","NULL"
"1262","1058","NIFTY","HIST:NIFTY:NSE:SPOT","23200","CE","HIST:NIFTY:NFO:2025-01-16:23200:CE","SELL","2025-01-16 10:00:00","93.4000","2025-01-16 15:15:00","106.2500","-12.8500","CLOSED","NULL","NULL","BACKTEST","19.9000","-22.9500","101.7500","2025-01-16 15:10:00","SIGNAL","39.1100","58.6600","5min/SMA200","1","0","75","NULL","NULL"
"1263","1055","NIFTY","HIST:NIFTY:NSE:SPOT","23200","CE","HIST:NIFTY:NFO:2025-01-16:23200:CE","SELL","2025-01-14 09:30:00","111.1000","2025-01-14 15:15:00","107.2500","3.8500","CLOSED","NULL","NULL","BACKTEST","30.4500","-37.4000","109.7500","2025-01-14 15:10:00","SIGNAL","72.1200","108.1800","5min/SMA50","1","0","75","NULL","NULL"
"1264","1056","NIFTY","HIST:NIFTY:NSE:SPOT","23100","CE","HIST:NIFTY:NFO:2025-01-16:23100:CE","SELL","2025-01-15 09:15:00","156.4500","2025-01-15 13:40:00","110.8500","45.6000","CLOSED","NULL","NULL","BACKTEST","45.6000","-57.4500","110.8500","2025-01-15 13:40:00","TARGET","43.0700","64.6100","15min/SMA50","1","0","75","NULL","NULL"
"1265","1058","NIFTY","HIST:NIFTY:NSE:SPOT","23200","CE","HIST:NIFTY:NFO:2025-01-16:23200:CE","SELL","2025-01-16 10:45:00","87.5500","2025-01-16 15:15:00","106.2500","-18.7000","CLOSED","NULL","NULL","BACKTEST","14.0500","-28.8000","101.7500","2025-01-16 15:10:00","SIGNAL","39.1100","58.6600","5min/SMA200","1","0","75","NULL","NULL"
"1266","1055","NIFTY","HIST:NIFTY:NSE:SPOT","23000","CE","HIST:NIFTY:NFO:2025-01-16:23000:CE","SELL","2025-01-14 09:50:00","237.5500","2025-01-14 15:15:00","260.6500","-23.1000","CLOSED","NULL","NULL","BACKTEST","24.1500","-71.4500","265.9000","2025-01-14 15:10:00","SIGNAL","72.1200","108.1800","5min/SMA50","1","0","75","NULL","NULL"
"1267","1056","NIFTY","HIST:NIFTY:NSE:SPOT","23200","CE","HIST:NIFTY:NFO:2025-01-16:23200:CE","SELL","2025-01-15 11:00:00","99.0000","2025-01-15 13:25:00","54.4500","44.5500","CLOSED","NULL","NULL","BACKTEST","44.5500","-2.0000","54.4500","2025-01-15 13:25:00","TARGET","43.0700","64.6100","15min/SMA50","1","0","75","NULL","NULL"
"1268","1058","NIFTY","HIST:NIFTY:NSE:SPOT","23200","CE","HIST:NIFTY:NFO:2025-01-16:23200:CE","SELL","2025-01-16 11:45:00","88.7500","2025-01-16 15:15:00","106.2500","-17.5000","CLOSED","NULL","NULL","BACKTEST","8.3000","-27.6000","101.7500","2025-01-16 15:10:00","SIGNAL","39.1100","58.6600","5min/SMA200","1","0","75","NULL","NULL"
"1269","1072","NIFTY","HIST:NIFTY:NSE:SPOT","21400","CE","HIST:NIFTY:NFO:2024-01-04:21400:CE","SELL","2024-01-04 09:30:00","199.4500","2024-01-04 15:15:00","253.1000","-53.6500","CLOSED","NULL","NULL","BACKTEST","0.0000","-60.5500","249.3000","2024-01-04 15:10:00","SIGNAL","41.6900","62.5300","5min/SMA100","1","0","75","NULL","NULL"
"1270","1072","NIFTY","HIST:NIFTY:NSE:SPOT","21400","CE","HIST:NIFTY:NFO:2024-01-04:21400:CE","SELL","2024-01-04 09:45:00","204.0500","2024-01-04 15:15:00","253.1000","-49.0500","CLOSED","NULL","NULL","BACKTEST","0.0000","-55.9500","249.3000","2024-01-04 15:10:00","SIGNAL","41.6900","62.5300","15min/SMA50","2","0","75","NULL","NULL"
"1271","1080","NIFTY","HIST:NIFTY:NSE:SPOT","21900","PE","HIST:NIFTY:NFO:2024-01-18:21900:PE","SELL","2024-01-12 15:10:00","126.5000","2024-01-12 15:15:00","117.6000","8.9000","CLOSED","NULL","NULL","BACKTEST","0.0000","0.0000","NULL","NULL","SIGNAL","18.4400","27.6500","5min/SMA50","1","0","75","NULL","NULL"
"1272","1080","NIFTY","HIST:NIFTY:NSE:SPOT","21900","PE","HIST:NIFTY:NFO:2024-01-18:21900:PE","SELL","2024-01-12 15:10:00","126.5000","2024-01-12 15:15:00","117.6000","8.9000","CLOSED","NULL","NULL","BACKTEST","0.0000","0.0000","NULL","NULL","SIGNAL","18.4400","27.6500","5min/SMA50","2","0","75","NULL","NULL"
"1273","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22000","PE","HIST:NIFTY:NFO:2024-01-18:22000:PE","SELL","2024-01-16 09:25:00","80.0500","2024-01-16 15:15:00","81.9000","-1.8500","CLOSED","NULL","NULL","BACKTEST","25.1500","-27.1500","74.5500","2024-01-16 15:10:00","SIGNAL","51.8000","77.6900","5min/SMA50","1","0","75","NULL","NULL"
"1274","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22000","PE","HIST:NIFTY:NFO:2024-01-18:22000:PE","SELL","2024-01-16 09:25:00","80.0500","2024-01-16 15:15:00","81.9000","-1.8500","CLOSED","NULL","NULL","BACKTEST","25.1500","-27.1500","74.5500","2024-01-16 15:10:00","SIGNAL","51.8000","77.6900","5min/SMA50","2","0","75","NULL","NULL"
"1275","1083","NIFTY","HIST:NIFTY:NSE:SPOT","21400","CE","HIST:NIFTY:NFO:2024-01-18:21400:CE","SELL","2024-01-18 12:00:00","102.6500","2024-01-18 15:15:00","59.6500","43.0000","CLOSED","NULL","NULL","BACKTEST","62.2000","-18.5500","57.6500","2024-01-18 15:10:00","SIGNAL","67.0300","100.5500","5min/SMA50","1","0","75","NULL","NULL"
"1276","1083","NIFTY","HIST:NIFTY:NSE:SPOT","21300","CE","HIST:NIFTY:NFO:2024-01-18:21300:CE","SELL","2024-01-18 12:55:00","145.9000","2024-01-18 15:15:00","159.7000","-13.8000","CLOSED","NULL","NULL","BACKTEST","11.4500","-21.6000","157.9000","2024-01-18 15:10:00","SIGNAL","67.0300","100.5500","5min/SMA50","2","0","75","NULL","NULL"
"1277","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21200","CE","HIST:NIFTY:NFO:2024-01-25:21200:CE","SELL","2024-01-25 09:15:00","229.8000","2024-01-25 09:50:00","184.6000","45.2000","CLOSED","NULL","NULL","BACKTEST","45.2000","-23.3000","184.6000","2024-01-25 09:50:00","TARGET","42.2800","63.4200","5min/SMA200","1","0","75","NULL","NULL"
"1278","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21200","CE","HIST:NIFTY:NFO:2024-01-25:21200:CE","SELL","2024-01-25 09:15:00","229.8000","2024-01-25 09:50:00","184.6000","45.2000","CLOSED","NULL","NULL","BACKTEST","45.2000","-23.3000","184.6000","2024-01-25 09:50:00","TARGET","42.2800","63.4200","5min/SMA200","2","0","75","NULL","NULL"
"1279","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21100","CE","HIST:NIFTY:NFO:2024-01-25:21100:CE","SELL","2024-01-25 11:45:00","208.0000","2024-01-25 13:25:00","165.0500","42.9500","CLOSED","NULL","NULL","BACKTEST","42.9500","-2.7500","165.0500","2024-01-25 13:25:00","TARGET","42.2800","63.4200","15min/SMA50","1","0","75","NULL","NULL"
"1280","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21100","CE","HIST:NIFTY:NFO:2024-01-25:21100:CE","SELL","2024-01-25 11:45:00","208.0000","2024-01-25 13:25:00","165.0500","42.9500","CLOSED","NULL","NULL","BACKTEST","42.9500","-2.7500","165.0500","2024-01-25 13:25:00","TARGET","42.2800","63.4200","15min/SMA50","2","0","75","NULL","NULL"
"1281","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21600","CE","HIST:NIFTY:NFO:2024-02-01:21600:CE","SELL","2024-02-01 09:25:00","165.9000","2024-02-01 11:00:00","234.2500","-68.3500","CLOSED","NULL","NULL","BACKTEST","16.2000","-68.3500","234.2500","2024-02-01 11:00:00","STOP_LOSS","45.1600","67.7400","5min/SMA100","1","0","75","NULL","NULL"
"1282","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21600","CE","HIST:NIFTY:NFO:2024-02-01:21600:CE","SELL","2024-02-01 09:25:00","165.9000","2024-02-01 11:00:00","234.2500","-68.3500","CLOSED","NULL","NULL","BACKTEST","16.2000","-68.3500","234.2500","2024-02-01 11:00:00","STOP_LOSS","45.1600","67.7400","5min/SMA100","2","0","75","NULL","NULL"
"1283","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21700","CE","HIST:NIFTY:NFO:2024-02-01:21700:CE","SELL","2024-02-01 11:30:00","110.9000","2024-02-01 12:00:00","59.0000","51.9000","CLOSED","NULL","NULL","BACKTEST","51.9000","-0.9000","59.0000","2024-02-01 12:00:00","TARGET","45.1600","67.7400","15min/SMA50","1","0","75","NULL","NULL"
"1284","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21700","CE","HIST:NIFTY:NFO:2024-02-01:21700:CE","SELL","2024-02-01 11:30:00","110.9000","2024-02-01 12:00:00","59.0000","51.9000","CLOSED","NULL","NULL","BACKTEST","51.9000","-0.9000","59.0000","2024-02-01 12:00:00","TARGET","45.1600","67.7400","15min/SMA50","2","0","75","NULL","NULL"
"1285","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21600","CE","HIST:NIFTY:NFO:2024-02-01:21600:CE","SELL","2024-02-01 11:45:00","164.5500","2024-02-01 13:15:00","115.9500","48.6000","CLOSED","NULL","NULL","BACKTEST","48.6000","-1.3500","115.9500","2024-02-01 13:15:00","TARGET","45.1600","67.7400","15min/SMA50","1","0","75","NULL","NULL"
"1286","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21600","CE","HIST:NIFTY:NFO:2024-02-01:21600:CE","SELL","2024-02-01 11:45:00","164.5500","2024-02-01 13:15:00","115.9500","48.6000","CLOSED","NULL","NULL","BACKTEST","48.6000","-1.3500","115.9500","2024-02-01 13:15:00","TARGET","45.1600","67.7400","15min/SMA50","2","0","75","NULL","NULL"
"1287","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21500","CE","HIST:NIFTY:NFO:2024-02-01:21500:CE","SELL","2024-02-01 13:00:00","225.0000","2024-02-01 15:15:00","198.5500","26.4500","CLOSED","NULL","NULL","BACKTEST","31.4500","-0.2500","193.5500","2024-02-01 15:10:00","SIGNAL","45.1600","67.7400","15min/SMA50","1","0","75","NULL","NULL"
"1288","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21500","CE","HIST:NIFTY:NFO:2024-02-01:21500:CE","SELL","2024-02-01 13:00:00","225.0000","2024-02-01 15:15:00","198.5500","26.4500","CLOSED","NULL","NULL","BACKTEST","31.4500","-0.2500","193.5500","2024-02-01 15:10:00","SIGNAL","45.1600","67.7400","15min/SMA50","2","0","75","NULL","NULL"
"1289","1093","NIFTY","HIST:NIFTY:NSE:SPOT","21900","CE","HIST:NIFTY:NFO:2024-02-08:21900:CE","SELL","2024-02-08 09:35:00","108.7500","2024-02-08 10:05:00","63.5500","45.2000","CLOSED","NULL","NULL","BACKTEST","45.2000","0.0000","63.5500","2024-02-08 10:05:00","TARGET","43.0500","64.5800","5min/SMA200","1","0","75","NULL","NULL"
"1290","1093","NIFTY","HIST:NIFTY:NSE:SPOT","21900","CE","HIST:NIFTY:NFO:2024-02-08:21900:CE","SELL","2024-02-08 09:35:00","108.7500","2024-02-08 10:05:00","63.5500","45.2000","CLOSED","NULL","NULL","BACKTEST","45.2000","0.0000","63.5500","2024-02-08 10:05:00","TARGET","43.0500","64.5800","5min/SMA200","2","0","75","NULL","NULL"
