id	trade_config_id	strategy_id	instrument_name	option_type	option_strike	option_token	entry_direction	entry_time	entry_price	entry_reason	exit_time	exit_price	exit_reason	profit	peak_profit	peak_loss	target_at_entry	stop_loss_at_entry	trail_ladder_at_entry	trail_sl_at	quantity	status	fill_status
1613	1072	1	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-04:21400:CE	SELL	2024-01-04 09:30:00	199.4500	5min/SMA100	2024-01-04 12:20:00	259.2900	STOP_LOSS	-59.8400	7.4000	-62.6000	39.8900	59.8400	NULL	NULL	75	CLOSED	BACKTEST
1614	1072	2	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-04:21400:CE	SELL	2024-01-04 09:45:00	204.0500	15min/SMA50	2024-01-04 15:15:00	253.1000	SIGNAL	-49.0500	3.1500	-58.0000	40.8100	61.2200	NULL	NULL	75	CLOSED	BACKTEST
1615	1080	1	NIFTY	PE	21900	HIST:NIFTY:NFO:2024-01-18:21900:PE	SELL	2024-01-12 15:10:00	126.5000	5min/SMA50	2024-01-12 15:15:00	117.6000	SIGNAL	8.9000	0.0000	0.0000	25.3000	37.9500	NULL	NULL	75	CLOSED	BACKTEST
1616	1080	2	NIFTY	PE	21900	HIST:NIFTY:NFO:2024-01-18:21900:PE	SELL	2024-01-12 15:10:00	126.5000	5min/SMA50	2024-01-12 15:15:00	117.6000	SIGNAL	8.9000	0.0000	0.0000	25.3000	37.9500	NULL	NULL	75	CLOSED	BACKTEST
1617	1081	1	NIFTY	PE	22000	HIST:NIFTY:NFO:2024-01-18:22000:PE	SELL	2024-01-16 09:25:00	80.0500	5min/SMA50	2024-01-16 10:35:00	59.0500	TARGET	21.0000	21.3500	-3.4500	16.0100	24.0200	NULL	NULL	75	CLOSED	BACKTEST
1618	1081	2	NIFTY	PE	22000	HIST:NIFTY:NFO:2024-01-18:22000:PE	SELL	2024-01-16 09:25:00	80.0500	5min/SMA50	2024-01-16 10:35:00	59.0500	TARGET	21.0000	21.3500	-3.4500	16.0100	24.0200	NULL	NULL	75	CLOSED	BACKTEST
1619	1081	1	NIFTY	PE	22100	HIST:NIFTY:NFO:2024-01-18:22100:PE	SELL	2024-01-16 11:45:00	98.2000	5min/SMA50	2024-01-16 13:00:00	127.6600	STOP_LOSS	-29.4600	9.1500	-32.3000	19.6400	29.4600	NULL	NULL	75	CLOSED	BACKTEST
1620	1081	2	NIFTY	PE	22100	HIST:NIFTY:NFO:2024-01-18:22100:PE	SELL	2024-01-16 11:45:00	98.2000	5min/SMA50	2024-01-16 13:00:00	127.6600	STOP_LOSS	-29.4600	9.1500	-32.3000	19.6400	29.4600	NULL	NULL	75	CLOSED	BACKTEST
1621	1083	1	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-18:21400:CE	SELL	2024-01-18 12:00:00	102.6500	5min/SMA50	2024-01-18 12:30:00	70.2000	TARGET	32.4500	34.5500	-27.8000	20.5300	30.8000	NULL	NULL	75	CLOSED	BACKTEST
1622	1083	1	NIFTY	CE	21300	HIST:NIFTY:NFO:2024-01-18:21300:CE	SELL	2024-01-18 12:40:00	154.8500	5min/SMA50	2024-01-18 15:15:00	159.7000	SIGNAL	-4.8500	34.6000	-26.5000	30.9700	46.4600	NULL	NULL	75	CLOSED	BACKTEST
1623	1083	2	NIFTY	CE	21300	HIST:NIFTY:NFO:2024-01-18:21300:CE	SELL	2024-01-18 12:55:00	145.9000	5min/SMA50	2024-01-18 15:15:00	159.7000	SIGNAL	-13.8000	25.6500	-35.4500	29.1800	43.7700	NULL	NULL	75	CLOSED	BACKTEST
1624	1086	1	NIFTY	CE	21200	HIST:NIFTY:NFO:2024-01-25:21200:CE	SELL	2024-01-25 09:15:00	229.8000	5min/SMA200	2024-01-25 10:00:00	183.0000	TARGET	46.8000	50.9000	-31.7000	45.9600	68.9400	NULL	NULL	75	CLOSED	BACKTEST
1625	1086	2	NIFTY	CE	21200	HIST:NIFTY:NFO:2024-01-25:21200:CE	SELL	2024-01-25 09:15:00	229.8000	5min/SMA200	2024-01-25 10:00:00	183.0000	TARGET	46.8000	50.9000	-31.7000	45.9600	68.9400	NULL	NULL	75	CLOSED	BACKTEST
1626	1086	1	NIFTY	CE	21100	HIST:NIFTY:NFO:2024-01-25:21100:CE	SELL	2024-01-25 11:45:00	208.0000	15min/SMA50	2024-01-25 13:25:00	165.0500	TARGET	42.9500	45.7000	-18.1000	41.6000	62.4000	NULL	NULL	75	CLOSED	BACKTEST
1627	1086	2	NIFTY	CE	21100	HIST:NIFTY:NFO:2024-01-25:21100:CE	SELL	2024-01-25 11:45:00	208.0000	15min/SMA50	2024-01-25 13:25:00	165.0500	TARGET	42.9500	45.7000	-18.1000	41.6000	62.4000	NULL	NULL	75	CLOSED	BACKTEST
