id	trade_config_id	strategy_id	instrument_name	option_type	option_strike	option_token	entry_direction	entry_time	entry_price	entry_reason	exit_time	exit_price	exit_reason	profit	peak_profit	peak_loss	target_at_entry	stop_loss_at_entry	trail_ladder_at_entry	trail_sl_at	quantity	status	fill_status
1594	1072	1	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-04:21400:CE	SELL	2024-01-04 09:30:00	199.4500	5min/SMA100	2024-01-04 12:20:00	259.2900	STOP_LOSS	-59.8400	7.4000	-62.6000	39.8900	59.8400	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1595	1072	2	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-04:21400:CE	SELL	2024-01-04 09:45:00	204.0500	15min/SMA50	2024-01-04 15:15:00	253.1000	SIGNAL	-49.0500	3.1500	-58.0000	40.8100	60.0000	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1596	1080	1	NIFTY	PE	21900	HIST:NIFTY:NFO:2024-01-18:21900:PE	SELL	2024-01-12 15:10:00	126.5000	5min/SMA50	2024-01-12 15:15:00	117.6000	SIGNAL	8.9000	0.0000	0.0000	25.3000	37.9500	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1597	1080	2	NIFTY	PE	21900	HIST:NIFTY:NFO:2024-01-18:21900:PE	SELL	2024-01-12 15:10:00	126.5000	5min/SMA50	2024-01-12 15:15:00	117.6000	SIGNAL	8.9000	0.0000	0.0000	25.3000	37.9500	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1598	1081	1	NIFTY	PE	22000	HIST:NIFTY:NFO:2024-01-18:22000:PE	SELL	2024-01-16 09:25:00	80.0500	5min/SMA50	2024-01-16 10:35:00	59.0500	TARGET	21.0000	21.3500	-3.4500	16.0100	24.0200	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1599	1081	2	NIFTY	PE	22000	HIST:NIFTY:NFO:2024-01-18:22000:PE	SELL	2024-01-16 09:25:00	80.0500	5min/SMA50	2024-01-16 10:35:00	59.0500	TARGET	21.0000	21.3500	-3.4500	16.0100	24.0200	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1600	1081	1	NIFTY	PE	22100	HIST:NIFTY:NFO:2024-01-18:22100:PE	SELL	2024-01-16 11:45:00	98.2000	5min/SMA50	2024-01-16 13:00:00	127.6600	STOP_LOSS	-29.4600	9.1500	-32.3000	19.6400	29.4600	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1601	1081	2	NIFTY	PE	22100	HIST:NIFTY:NFO:2024-01-18:22100:PE	SELL	2024-01-16 11:45:00	98.2000	5min/SMA50	2024-01-16 13:00:00	127.6600	STOP_LOSS	-29.4600	9.1500	-32.3000	19.6400	29.4600	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1602	1083	1	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-18:21400:CE	SELL	2024-01-18 12:00:00	102.6500	5min/SMA50	2024-01-18 12:30:00	70.2000	TARGET	32.4500	34.5500	-27.8000	20.5300	30.8000	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1603	1083	1	NIFTY	CE	21300	HIST:NIFTY:NFO:2024-01-18:21300:CE	SELL	2024-01-18 12:40:00	154.8500	5min/SMA50	2024-01-18 14:35:00	152.8500	TRAIL_SL	2.0000	34.6000	-17.3000	30.9700	46.4600	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1604	1083	2	NIFTY	CE	21300	HIST:NIFTY:NFO:2024-01-18:21300:CE	SELL	2024-01-18 12:55:00	145.9000	5min/SMA50	2024-01-18 14:35:00	143.9000	TRAIL_SL	2.0000	25.6500	-26.2500	29.1800	43.7700	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1605	1086	1	NIFTY	CE	21200	HIST:NIFTY:NFO:2024-01-25:21200:CE	SELL	2024-01-25 09:15:00	229.8000	5min/SMA200	2024-01-25 09:25:00	227.8000	TRAIL_SL	2.0000	38.9500	-26.2500	45.9600	60.0000	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1606	1086	2	NIFTY	CE	21200	HIST:NIFTY:NFO:2024-01-25:21200:CE	SELL	2024-01-25 09:15:00	229.8000	5min/SMA200	2024-01-25 09:25:00	227.8000	TRAIL_SL	2.0000	38.9500	-26.2500	45.9600	60.0000	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1607	1086	1	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-25:21400:CE	SELL	2024-01-25 09:15:00	89.3000	15min/SMA50	2024-01-25 09:30:00	62.8500	TARGET	26.4500	27.8000	-5.6000	17.8600	26.7900	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1608	1086	2	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-25:21400:CE	SELL	2024-01-25 09:15:00	89.3000	15min/SMA50	2024-01-25 09:30:00	62.8500	TARGET	26.4500	27.8000	-5.6000	17.8600	26.7900	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1609	1086	1	NIFTY	CE	21200	HIST:NIFTY:NFO:2024-01-25:21200:CE	SELL	2024-01-25 09:30:00	194.5500	15min/SMA50	2024-01-25 10:15:00	148.7500	TARGET	45.8000	46.3000	-40.0000	38.9100	58.3700	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1610	1086	2	NIFTY	CE	21200	HIST:NIFTY:NFO:2024-01-25:21200:CE	SELL	2024-01-25 09:30:00	194.5500	15min/SMA50	2024-01-25 10:15:00	148.7500	TARGET	45.8000	46.3000	-40.0000	38.9100	58.3700	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1611	1086	1	NIFTY	CE	21100	HIST:NIFTY:NFO:2024-01-25:21100:CE	SELL	2024-01-25 11:45:00	208.0000	15min/SMA50	2024-01-25 12:25:00	206.0000	TRAIL_SL	2.0000	36.9500	-18.1000	41.6000	60.0000	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
