"id","trade_config_id","instrument_name","instrument_token","option_strike","option_type","option_token","entry_direction","entry_time","entry_price","exit_time","exit_price","profit","status","entry_broker_order_id","exit_broker_order_id","fill_status","peak_profit","peak_loss","last_monitored_price","last_monitored_at","exit_reason","target_at_entry","stop_loss_at_entry","entry_reason","strategy_id","lot_quantity_at_entry","quantity","trail_ladder_at_entry","trail_sl_at"
"1407","1072","NIFTY","HIST:NIFTY:NSE:SPOT","21400","CE","HIST:NIFTY:NFO:2024-01-04:21400:CE","SELL","2024-01-04 09:30:00","199.4500","2024-01-04 12:20:00","259.8000","-60.3500","CLOSED","NULL","NULL","BACKTEST","0.0000","-60.3500","259.8000","2024-01-04 12:20:00","STOP_LOSS","39.8900","59.8400","5min/SMA100","1","0","75","25:2,50:25,75:50,100:75","NULL"
"1408","1072","NIFTY","HIST:NIFTY:NSE:SPOT","21400","CE","HIST:NIFTY:NFO:2024-01-04:21400:CE","SELL","2024-01-04 09:45:00","204.0500","2024-01-04 15:15:00","253.1000","-49.0500","CLOSED","NULL","NULL","BACKTEST","0.0000","-55.9500","249.3000","2024-01-04 15:10:00","SIGNAL","40.8100","60.0000","15min/SMA50","2","0","75","25:2,50:25,75:50,100:75","NULL"
"1409","1080","NIFTY","HIST:NIFTY:NSE:SPOT","21900","PE","HIST:NIFTY:NFO:2024-01-18:21900:PE","SELL","2024-01-12 15:10:00","126.5000","2024-01-12 15:15:00","117.6000","8.9000","CLOSED","NULL","NULL","BACKTEST","0.0000","0.0000","NULL","NULL","SIGNAL","25.3000","37.9500","5min/SMA50","1","0","75","25:2,50:25,75:50,100:75","NULL"
"1410","1080","NIFTY","HIST:NIFTY:NSE:SPOT","21900","PE","HIST:NIFTY:NFO:2024-01-18:21900:PE","SELL","2024-01-12 15:10:00","126.5000","2024-01-12 15:15:00","117.6000","8.9000","CLOSED","NULL","NULL","BACKTEST","0.0000","0.0000","NULL","NULL","SIGNAL","25.3000","37.9500","5min/SMA50","2","0","75","25:2,50:25,75:50,100:75","NULL"
"1411","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22000","PE","HIST:NIFTY:NFO:2024-01-18:22000:PE","SELL","2024-01-16 09:25:00","80.0500","2024-01-16 10:35:00","59.0500","21.0000","CLOSED","NULL","NULL","BACKTEST","21.0000","-1.2000","59.0500","2024-01-16 10:35:00","TARGET","16.0100","24.0200","5min/SMA50","1","0","75","25:2,50:25,75:50,100:75","NULL"
"1412","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22000","PE","HIST:NIFTY:NFO:2024-01-18:22000:PE","SELL","2024-01-16 09:25:00","80.0500","2024-01-16 10:35:00","59.0500","21.0000","CLOSED","NULL","NULL","BACKTEST","21.0000","-1.2000","59.0500","2024-01-16 10:35:00","TARGET","16.0100","24.0200","5min/SMA50","2","0","75","25:2,50:25,75:50,100:75","NULL"
"1413","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22100","PE","HIST:NIFTY:NFO:2024-01-18:22100:PE","SELL","2024-01-16 11:45:00","98.2000","2024-01-16 13:00:00","129.6000","-31.4000","CLOSED","NULL","NULL","BACKTEST","8.2000","-31.4000","129.6000","2024-01-16 13:00:00","STOP_LOSS","19.6400","29.4600","5min/SMA50","1","0","75","25:2,50:25,75:50,100:75","NULL"
"1414","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22100","PE","HIST:NIFTY:NFO:2024-01-18:22100:PE","SELL","2024-01-16 11:45:00","98.2000","2024-01-16 13:00:00","129.6000","-31.4000","CLOSED","NULL","NULL","BACKTEST","8.2000","-31.4000","129.6000","2024-01-16 13:00:00","STOP_LOSS","19.6400","29.4600","5min/SMA50","2","0","75","25:2,50:25,75:50,100:75","NULL"
"1415","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22200","PE","HIST:NIFTY:NFO:2024-01-18:22200:PE","SELL","2024-01-16 11:55:00","142.8000","2024-01-16 13:10:00","204.1000","-61.3000","CLOSED","NULL","NULL","BACKTEST","0.0000","-61.3000","204.1000","2024-01-16 13:10:00","STOP_LOSS","28.5600","42.8400","5min/SMA50","1","0","75","25:2,50:25,75:50,100:75","NULL"
"1416","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22200","PE","HIST:NIFTY:NFO:2024-01-18:22200:PE","SELL","2024-01-16 11:55:00","142.8000","2024-01-16 13:10:00","204.1000","-61.3000","CLOSED","NULL","NULL","BACKTEST","0.0000","-61.3000","204.1000","2024-01-16 13:10:00","STOP_LOSS","28.5600","42.8400","5min/SMA50","2","0","75","25:2,50:25,75:50,100:75","NULL"
"1417","1083","NIFTY","HIST:NIFTY:NSE:SPOT","21400","CE","HIST:NIFTY:NFO:2024-01-18:21400:CE","SELL","2024-01-18 12:00:00","102.6500","2024-01-18 12:30:00","70.2000","32.4500","CLOSED","NULL","NULL","BACKTEST","32.4500","-18.5500","70.2000","2024-01-18 12:30:00","TARGET","20.5300","30.8000","5min/SMA50","1","0","75","25:2,50:25,75:50,100:75","2.0000"
"1418","1083","NIFTY","HIST:NIFTY:NSE:SPOT","21300","CE","HIST:NIFTY:NFO:2024-01-18:21300:CE","SELL","2024-01-18 12:40:00","154.8500","2024-01-18 15:15:00","159.7000","-4.8500","CLOSED","NULL","NULL","BACKTEST","20.4000","-12.6500","157.9000","2024-01-18 15:10:00","SIGNAL","30.9700","46.4600","5min/SMA50","1","0","75","25:2,50:25,75:50,100:75","NULL"
"1419","1083","NIFTY","HIST:NIFTY:NSE:SPOT","21300","CE","HIST:NIFTY:NFO:2024-01-18:21300:CE","SELL","2024-01-18 12:55:00","145.9000","2024-01-18 15:15:00","159.7000","-13.8000","CLOSED","NULL","NULL","BACKTEST","11.4500","-21.6000","157.9000","2024-01-18 15:10:00","SIGNAL","29.1800","43.7700","5min/SMA50","2","0","75","25:2,50:25,75:50,100:75","NULL"
"1420","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21200","CE","HIST:NIFTY:NFO:2024-01-25:21200:CE","SELL","2024-01-25 09:15:00","229.8000","2024-01-25 09:25:00","253.1000","-23.3000","CLOSED","NULL","NULL","BACKTEST","35.3000","-23.3000","253.1000","2024-01-25 09:25:00","TRAIL_SL","45.9600","60.0000","5min/SMA200","1","0","75","25:2,50:25,75:50,100:75","2.0000"
"1421","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21200","CE","HIST:NIFTY:NFO:2024-01-25:21200:CE","SELL","2024-01-25 09:15:00","229.8000","2024-01-25 09:25:00","253.1000","-23.3000","CLOSED","NULL","NULL","BACKTEST","35.3000","-23.3000","253.1000","2024-01-25 09:25:00","TRAIL_SL","45.9600","60.0000","5min/SMA200","2","0","75","25:2,50:25,75:50,100:75","2.0000"
"1422","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21400","CE","HIST:NIFTY:NFO:2024-01-25:21400:CE","SELL","2024-01-25 09:15:00","89.3000","2024-01-25 09:30:00","62.8500","26.4500","CLOSED","NULL","NULL","BACKTEST","26.4500","0.0000","62.8500","2024-01-25 09:30:00","TARGET","17.8600","26.7900","15min/SMA50","1","0","75","25:2,50:25,75:50,100:75","2.0000"
"1423","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21400","CE","HIST:NIFTY:NFO:2024-01-25:21400:CE","SELL","2024-01-25 09:15:00","89.3000","2024-01-25 09:30:00","62.8500","26.4500","CLOSED","NULL","NULL","BACKTEST","26.4500","0.0000","62.8500","2024-01-25 09:30:00","TARGET","17.8600","26.7900","15min/SMA50","2","0","75","25:2,50:25,75:50,100:75","2.0000"
"1424","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21200","CE","HIST:NIFTY:NFO:2024-01-25:21200:CE","SELL","2024-01-25 09:30:00","194.5500","2024-01-25 10:15:00","148.7500","45.8000","CLOSED","NULL","NULL","BACKTEST","45.8000","-8.4500","148.7500","2024-01-25 10:15:00","TARGET","38.9100","58.3700","15min/SMA50","1","0","75","25:2,50:25,75:50,100:75","2.0000"
"1425","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21200","CE","HIST:NIFTY:NFO:2024-01-25:21200:CE","SELL","2024-01-25 09:30:00","194.5500","2024-01-25 10:15:00","148.7500","45.8000","CLOSED","NULL","NULL","BACKTEST","45.8000","-8.4500","148.7500","2024-01-25 10:15:00","TARGET","38.9100","58.3700","15min/SMA50","2","0","75","25:2,50:25,75:50,100:75","2.0000"
"1426","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21100","CE","HIST:NIFTY:NFO:2024-01-25:21100:CE","SELL","2024-01-25 11:45:00","208.0000","2024-01-25 12:35:00","210.0500","-2.0500","CLOSED","NULL","NULL","BACKTEST","25.9000","-2.7500","210.0500","2024-01-25 12:35:00","TRAIL_SL","41.6000","60.0000","15min/SMA50","1","0","75","25:2,50:25,75:50,100:75","2.0000"
"1427","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21100","CE","HIST:NIFTY:NFO:2024-01-25:21100:CE","SELL","2024-01-25 11:45:00","208.0000","2024-01-25 12:35:00","210.0500","-2.0500","CLOSED","NULL","NULL","BACKTEST","25.9000","-2.7500","210.0500","2024-01-25 12:35:00","TRAIL_SL","41.6000","60.0000","15min/SMA50","2","0","75","25:2,50:25,75:50,100:75","2.0000"
"1428","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22100","PE","HIST:NIFTY:NFO:2024-01-18:22100:PE","SELL","2024-01-16 09:40:00","118.8000","2024-01-16 10:35:00","93.8000","25.0000","CLOSED","NULL","NULL","BACKTEST","25.0000","0.0000","93.8000","2024-01-16 10:35:00","TARGET","23.7600","35.6400","5min/SMA50","1","0","75","25:2,50:25,75:50,100:75","2.0000"
"1429","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22100","PE","HIST:NIFTY:NFO:2024-01-18:22100:PE","SELL","2024-01-16 09:45:00","107.2500","2024-01-16 13:30:00","161.0500","-53.8000","CLOSED","NULL","NULL","BACKTEST","17.2500","-53.8000","161.0500","2024-01-16 13:30:00","STOP_LOSS","21.4500","32.1800","5min/SMA50","2","0","75","25:2,50:25,75:50,100:75","NULL"
"1430","1081","NIFTY","HIST:NIFTY:NSE:SPOT","22100","PE","HIST:NIFTY:NFO:2024-01-18:22100:PE","SELL","2024-01-16 11:55:00","90.0000","2024-01-16 12:45:00","125.1000","-35.1000","CLOSED","NULL","NULL","BACKTEST","0.0000","-35.1000","125.1000","2024-01-16 12:45:00","STOP_LOSS","18.0000","27.0000","5min/SMA50","1","0","75","25:2,50:25,75:50,100:75","NULL"
"1431","1083","NIFTY","HIST:NIFTY:NSE:SPOT","21300","CE","HIST:NIFTY:NFO:2024-01-18:21300:CE","SELL","2024-01-18 12:30:00","164.1500","2024-01-18 14:40:00","167.5000","-3.3500","CLOSED","NULL","NULL","BACKTEST","29.7000","-9.8500","167.5000","2024-01-18 14:40:00","TRAIL_SL","32.8300","49.2500","5min/SMA50","1","0","75","25:2,50:25,75:50,100:75","2.0000"
"1432","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21300","CE","HIST:NIFTY:NFO:2024-01-25:21300:CE","SELL","2024-01-25 09:20:00","117.0000","2024-01-25 09:25:00","165.0000","-48.0000","CLOSED","NULL","NULL","BACKTEST","0.0000","-48.0000","165.0000","2024-01-25 09:25:00","STOP_LOSS","23.4000","35.1000","5min/SMA100","1","0","75","25:2,50:25,75:50,100:75","NULL"
"1433","1086","NIFTY","HIST:NIFTY:NSE:SPOT","21300","CE","HIST:NIFTY:NFO:2024-01-25:21300:CE","SELL","2024-01-25 09:30:00","114.3500","2024-01-25 10:15:00","76.9500","37.4000","CLOSED","NULL","NULL","BACKTEST","37.4000","-9.6500","76.9500","2024-01-25 10:15:00","TARGET","22.8700","34.3100","15min/SMA50","2","0","75","25:2,50:25,75:50,100:75","2.0000"
"1434","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21600","CE","HIST:NIFTY:NFO:2024-02-01:21600:CE","SELL","2024-02-01 09:25:00","165.9000","2024-02-01 10:50:00","217.5000","-51.6000","CLOSED","NULL","NULL","BACKTEST","16.2000","-51.6000","217.5000","2024-02-01 10:50:00","STOP_LOSS","33.1800","49.7700","5min/SMA100","1","0","75","25:2,50:25,75:50,100:75","NULL"
"1435","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21600","CE","HIST:NIFTY:NFO:2024-02-01:21600:CE","SELL","2024-02-01 09:25:00","165.9000","2024-02-01 10:50:00","217.5000","-51.6000","CLOSED","NULL","NULL","BACKTEST","16.2000","-51.6000","217.5000","2024-02-01 10:50:00","STOP_LOSS","33.1800","49.7700","5min/SMA100","2","0","75","25:2,50:25,75:50,100:75","NULL"
"1436","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21700","CE","HIST:NIFTY:NFO:2024-02-01:21700:CE","SELL","2024-02-01 11:30:00","110.9000","2024-02-01 11:55:00","83.1500","27.7500","CLOSED","NULL","NULL","BACKTEST","27.7500","-0.9000","83.1500","2024-02-01 11:55:00","TARGET","22.1800","33.2700","15min/SMA50","1","0","75","25:2,50:25,75:50,100:75","2.0000"
"1437","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21700","CE","HIST:NIFTY:NFO:2024-02-01:21700:CE","SELL","2024-02-01 11:30:00","110.9000","2024-02-01 11:55:00","83.1500","27.7500","CLOSED","NULL","NULL","BACKTEST","27.7500","-0.9000","83.1500","2024-02-01 11:55:00","TARGET","22.1800","33.2700","15min/SMA50","2","0","75","25:2,50:25,75:50,100:75","2.0000"
"1438","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21600","CE","HIST:NIFTY:NFO:2024-02-01:21600:CE","SELL","2024-02-01 11:45:00","164.5500","2024-02-01 12:05:00","165.9000","-1.3500","CLOSED","NULL","NULL","BACKTEST","28.4000","-1.3500","165.9000","2024-02-01 12:05:00","TRAIL_SL","32.9100","49.3700","15min/SMA50","1","0","75","25:2,50:25,75:50,100:75","2.0000"
"1439","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21600","CE","HIST:NIFTY:NFO:2024-02-01:21600:CE","SELL","2024-02-01 11:45:00","164.5500","2024-02-01 12:05:00","165.9000","-1.3500","CLOSED","NULL","NULL","BACKTEST","28.4000","-1.3500","165.9000","2024-02-01 12:05:00","TRAIL_SL","32.9100","49.3700","15min/SMA50","2","0","75","25:2,50:25,75:50,100:75","2.0000"
"1440","1088","NIFTY","HIST:NIFTY:NSE:SPOT","21500","CE","HIST:NIFTY:NFO:2024-02-01:21500:CE","SELL","2024-02-01 12:15:00","228.6000","2024-02-01 15:15:00","198.5500","30.0500","CLOSED","NULL","NULL","BACKTEST","35.0500","-32.3500","193.5500","2024-02-01 15:10:00","SIGNAL","45.7200","60.0000","15min/SMA50","1","0","75","25:2,50:25,75:50,100:75","2.0000"
