datetime,stock_code,exchange_code,expiry_date,strike_price,option_right,open,high,low,close,volume,open_interest
29-12-2023 09:55,NIFTY,NFO,04-01-2024,19500,CE,2268.55,2273.65,2260,2260,7150,32950
29-12-2023 10:00,NIFTY,NFO,04-01-2024,19500,CE,2260,2270.35,2260,2269.4,3400,32400
29-12-2023 10:05,NIFTY,NFO,04-01-2024,19500,CE,2269.4,2269.65,2258.25,2258.25,6050,32300
29-12-2023 10:10,NIFTY,NFO,04-01-2024,19500,CE,2258.25,2258.25,2200,2200,700,32300
29-12-2023 10:15,NIFTY,NFO,04-01-2024,19500,CE,2200,2203.25,2191.45,2203.25,2950,32300
29-12-2023 10:20,NIFTY,NFO,04-01-2024,19500,CE,2203.25,2246.25,2203.25,2246.25,2700,32500
29-12-2023 10:25,NIFTY,NFO,04-01-2024,19500,CE,2246.25,2253.35,2246.25,2253,550,33300
29-12-2023 10:30,NIFTY,NFO,04-01-2024,19500,CE,2253,2265,2253,2265,500,32850
29-12-2023 10:35,NIFTY,NFO,04-01-2024,19500,CE,2265,2278,2265,2278,500,32800
29-12-2023 10:40,NIFTY,NFO,04-01-2024,19500,CE,2278,2278,2278,2278,0,32800
29-12-2023 10:45,NIFTY,NFO,04-01-2024,19500,CE,2278,2278,2278,2278,0,32800
29-12-2023 10:50,NIFTY,NFO,04-01-2024,19500,CE,2278,2278,2249.95,2254.95,8900,33100
29-12-2023 10:55,NIFTY,NFO,04-01-2024,19500,CE,2254.95,2254.95,2254.95,2254.95,0,33100
29-12-2023 11:00,NIFTY,NFO,04-01-2024,19500,CE,2254.95,2254.95,2254.95,2254.95,0,33100
29-12-2023 11:05,NIFTY,NFO,04-01-2024,19500,CE,2254.95,2254.95,2254.95,2254.95,0,33100
29-12-2023 11:10,NIFTY,NFO,04-01-2024,19500,CE,2254.95,2254.95,2254.95,2254.95,0,33100
29-12-2023 11:15,NIFTY,NFO,04-01-2024,19500,CE,2254.95,2262.75,2254.95,2262.75,10050,33300
29-12-2023 11:20,NIFTY,NFO,04-01-2024,19500,CE,2262.75,2262.75,2262.75,2262.75,0,33300
29-12-2023 11:25,NIFTY,NFO,04-01-2024,19500,CE,2262.75,2288.15,2262.75,2288.15,1250,31900
29-12-2023 11:30,NIFTY,NFO,04-01-2024,19500,CE,2288.15,2288.15,2288.15,2288.15,0,31900
29-12-2023 11:35,NIFTY,NFO,04-01-2024,19500,CE,2288.15,2288.15,2288.15,2288.15,0,31900
29-12-2023 11:40,NIFTY,NFO,04-01-2024,19500,CE,2288.15,2288.15,2288.15,2288.15,0,31900
29-12-2023 11:45,NIFTY,NFO,04-01-2024,19500,CE,2288.15,2288.15,2288.15,2288.15,0,31900
