strategy,seq,side,choch_time,entry_time,entry_px,sl_px,exit_time,exit_px,exit_reason,pts,gross_inr,charges_inr,net_inr,is_open
S5M,1,PE,2026-08-26 12:30:00,2026-08-26 13:05:00,24440.0,24460.5,2026-08-26 14:10:00,24460.5,stop_loss,-20.5,-1332.5,465.36,-1797.86,0
S5M,2,CE,2026-08-26 14:10:00,2026-08-26 14:45:00,24470.5,24434.7,2026-08-26 15:20:00,24450.0,next_choch,-20.5,-1332.5,465.53,-1798.03,0
S5M,3,PE,2026-08-26 15:20:00,2026-08-26 15:25:00,24437.8,24468.9,2026-08-27 13:10:00,24373.0,next_choch,64.8,4212.0,465.09,3746.91,0
S5M,4,PE,2026-08-27 15:20:00,2026-08-27 15:25:00,24270.8,24313.6,2026-08-28 09:25:00,24313.6,stop_loss,-42.8,-2782.0,462.52,-3244.52,0
S5M,5,CE,2026-08-28 09:40:00,2026-08-28 10:10:00,24355.0,24312.1,2026-08-28 11:25:00,24312.1,stop_loss,-42.9,-2788.5,463.23,-3251.73,0
S5M,6,PE,2026-08-28 11:50:00,2026-08-28 11:55:00,24255.0,24282.1,2026-08-28 13:15:00,24282.1,stop_loss,-27.1,-1761.5,462.21,-2223.71,0
S5M,7,CE,2026-08-28 14:10:00,2026-08-28 14:25:00,24298.8,24283.0,2026-08-28 15:00:00,24297.1,next_choch,-1.7,-110.5,462.86,-573.36,0
S5M,8,CE,2026-08-28 15:10:00,2026-08-28 15:25:00,24349.9,24302.1,2026-08-31 09:15:00,24244.0,stop_loss,-105.9,-6883.5,462.23,-7345.73,0
S5M,9,PE,2026-08-31 09:15:00,2026-08-31 09:40:00,24183.0,24263.8,2026-08-31 11:50:00,24263.8,stop_loss,-80.8,-5252.0,461.12,-5713.12,0
S5M,10,PE,2026-08-31 13:30:00,2026-08-31 13:40:00,24250.0,24268.0,2026-08-31 14:45:00,24268.0,stop_loss,-18.0,-1170.0,462.1,-1632.1,0
S5M,11,PE,2026-09-01 09:15:00,2026-09-01 09:20:00,24172.6,24209.3,2026-09-01 09:25:00,24209.3,stop_loss,-36.7,-2385.5,460.83,-2846.33,0
S5M,12,PE,2026-09-01 12:55:00,2026-09-01 13:00:00,24218.1,24244.0,2026-09-03 09:15:00,24091.7,next_choch,126.4,8216.0,461.16,7754.84,0
S5M,13,CE,2026-09-03 09:15:00,2026-09-03 09:35:00,24129.0,24085.0,2026-09-03 10:35:00,24085.0,stop_loss,-44.0,-2860.0,459.35,-3319.35,0
S5M,14,PE,2026-09-03 10:55:00,2026-09-03 11:00:00,24066.0,24085.0,2026-09-03 11:30:00,24085.0,stop_loss,-19.0,-1235.0,458.95,-1693.95,0
S5M,15,PE,2026-09-03 12:15:00,2026-09-03 12:20:00,24020.0,24049.0,2026-09-03 13:10:00,24049.0,stop_loss,-29.0,-1885.0,458.19,-2343.19,0
S5M,16,PE,2026-09-03 14:55:00,2026-09-03 15:25:00,23985.0,24032.1,2026-09-04 09:15:00,24041.0,stop_loss,-56.0,-3640.0,457.67,-4097.67,0
S5M,17,CE,2026-09-04 09:15:00,2026-09-04 09:50:00,24067.8,24025.0,2026-09-04 12:55:00,24052.0,next_choch,-15.8,-1027.0,458.71,-1485.71,0
S5M,18,CE,2026-09-04 14:10:00,2026-09-04 14:25:00,24087.9,24062.3,2026-09-04 14:35:00,24062.3,stop_loss,-25.6,-1664.0,458.91,-2122.91,0
S5M,19,PE,2026-09-04 14:40:00,2026-09-04 15:00:00,24057.5,24070.0,2026-09-04 15:15:00,24070.0,stop_loss,-12.5,-812.5,458.79,-1271.29,0
S5M,20,PE,2026-09-07 09:55:00,2026-09-07 10:10:00,23916.8,23940.2,2026-09-07 14:00:00,23914.0,next_choch,2.8,182.0,456.34,-274.34,0
S5M,21,PE,2026-09-07 14:30:00,2026-09-07 14:35:00,23886.9,23914.9,2026-09-22 09:15:00,23450.0,next_choch,436.9,28398.5,454.66,27943.84,0
S5M,22,CE,2026-09-22 09:40:00,2026-09-22 10:10:00,23471.9,23450.2,2026-09-22 10:20:00,23450.2,stop_loss,-21.7,-1410.5,448.43,-1858.93,0
S5M,23,PE,2026-09-22 10:20:00,2026-09-22 10:30:00,23435.0,23470.0,2026-09-23 09:15:00,23423.0,next_choch,12.0,780.0,448.08,331.92,0
S5M,24,PE,2026-09-23 09:45:00,2026-09-23 09:50:00,23375.6,23413.0,2026-09-23 10:15:00,23413.0,stop_loss,-37.4,-2431.0,447.19,-2878.19,0
S5M,25,CE,2026-09-23 10:15:00,2026-09-23 10:25:00,23429.0,23390.0,2026-09-23 14:45:00,23448.6,next_choch,19.6,1274.0,448.29,825.71,0
S5M,26,PE,2026-09-23 14:45:00,2026-09-23 15:00:00,23433.5,23459.0,2026-09-25 15:25:00,23186.0,open,247.5,16087.5,447.41,15640.09,1
S1M,1,PE,2026-08-26 12:09:00,2026-08-26 12:10:00,24446.1,24465.0,2026-08-26 12:18:00,24465.0,stop_loss,-18.9,-1228.5,465.46,-1693.96,0
S1M,2,PE,2026-08-26 12:28:00,2026-08-26 12:30:00,24450.0,24459.0,2026-08-26 12:34:00,24459.0,stop_loss,-9.0,-585.0,465.5,-1050.5,0
S1M,3,CE,2026-08-26 12:34:00,2026-08-26 12:35:00,24463.7,24442.0,2026-08-26 12:50:00,24447.1,next_choch,-16.6,-1079.0,465.47,-1544.47,0
S1M,4,CE,2026-08-26 12:51:00,2026-08-26 12:54:00,24454.0,24444.0,2026-08-26 13:01:00,24444.0,stop_loss,-10.0,-650.0,465.4,-1115.4,0
S1M,5,PE,2026-08-26 13:01:00,2026-08-26 13:02:00,24440.0,24459.9,2026-08-26 13:35:00,24440.0,next_choch,0.0,0.0,465.3,-465.3,0
S1M,6,PE,2026-08-26 13:44:00,2026-08-26 13:45:00,24430.0,24447.4,2026-08-26 14:02:00,24433.3,next_choch,-3.3,-214.5,465.14,-679.64,0
S1M,7,CE,2026-08-26 14:02:00,2026-08-26 14:04:00,24438.0,24423.5,2026-08-26 15:20:00,24455.4,next_choch,17.4,1131.0,465.52,665.48,0
S1M,8,PE,2026-08-26 15:20:00,2026-08-26 15:21:00,24447.8,24475.1,2026-08-27 12:44:00,24344.0,next_choch,103.8,6747.0,465.15,6281.85,0
S1M,9,CE,2026-08-27 12:50:00,2026-08-27 12:51:00,24360.0,24335.0,2026-08-27 13:02:00,24362.0,next_choch,2.0,130.0,463.96,-333.96,0
S1M,10,PE,2026-08-27 13:02:00,2026-08-27 13:05:00,24348.0,24365.0,2026-08-27 13:12:00,24365.0,stop_loss,-17.0,-1105.0,463.77,-1568.77,0
S1M,11,CE,2026-08-27 13:12:00,2026-08-27 13:14:00,24373.0,24345.0,2026-08-27 13:29:00,24364.6,next_choch,-8.4,-546.0,464.03,-1010.03,0
S1M,12,PE,2026-08-27 13:29:00,2026-08-27 13:31:00,24345.0,24372.1,2026-08-27 13:38:00,24361.0,next_choch,-16.0,-1040.0,463.72,-1503.72,0
S1M,13,CE,2026-08-27 13:38:00,2026-08-27 13:39:00,24362.8,24349.1,2026-08-27 13:42:00,24349.1,stop_loss,-13.7,-890.5,463.78,-1354.28,0
S1M,14,PE,2026-08-27 13:42:00,2026-08-27 13:43:00,24341.2,24364.0,2026-08-27 14:17:00,24322.0,next_choch,19.2,1248.0,463.56,784.44,0
S1M,15,CE,2026-08-27 14:17:00,2026-08-27 14:19:00,24325.0,24303.0,2026-08-27 14:45:00,24331.0,next_choch,6.0,390.0,463.42,-73.42,0
S1M,16,PE,2026-08-27 15:04:00,2026-08-27 15:05:00,24319.1,24337.9,2026-08-27 15:10:00,24321.0,next_choch,-1.9,-123.5,463.24,-586.74,0
S1M,17,PE,2026-08-27 15:12:00,2026-08-27 15:15:00,24303.1,24320.0,2026-08-28 09:17:00,24295.0,next_choch,8.1,526.5,462.94,63.56,0
S1M,18,CE,2026-08-28 09:17:00,2026-08-28 09:25:00,24320.0,24276.3,2026-08-28 11:35:00,24276.3,stop_loss,-43.7,-2840.5,462.62,-3303.12,0
S1M,19,PE,2026-08-28 11:35:00,2026-08-28 11:54:00,24270.0,24285.0,2026-08-28 13:22:00,24285.0,stop_loss,-15.0,-975.0,462.43,-1437.43,0
S1M,20,CE,2026-08-28 13:34:00,2026-08-28 13:40:00,24300.0,24286.0,2026-08-28 13:48:00,24286.0,stop_loss,-14.0,-910.0,462.7,-1372.7,0
S1M,21,CE,2026-08-28 13:58:00,2026-08-28 13:59:00,24291.0,24280.5,2026-08-28 14:07:00,24280.5,stop_loss,-10.5,-682.5,462.6,-1145.1,0
S1M,22,CE,2026-08-28 14:21:00,2026-08-28 14:29:00,24298.8,24284.0,2026-08-28 15:02:00,24292.1,next_choch,-6.7,-435.5,462.79,-898.29,0
S1M,23,CE,2026-08-28 15:11:00,2026-08-28 15:28:00,24349.4,24339.9,2026-08-31 09:15:00,24244.0,stop_loss,-105.4,-6851.0,462.23,-7313.23,0
S1M,24,PE,2026-08-31 09:15:00,2026-08-31 09:26:00,24192.0,24220.0,2026-08-31 11:35:00,24202.5,next_choch,-10.5,-682.5,461.09,-1143.59,0
S1M,25,CE,2026-08-31 11:35:00,2026-08-31 11:42:00,24210.0,24197.7,2026-08-31 14:04:00,24233.1,next_choch,23.1,1501.5,461.7,1039.8,0
S1M,26,PE,2026-08-31 14:04:00,2026-08-31 14:05:00,24216.1,24250.0,2026-08-31 14:35:00,24229.6,next_choch,-13.5,-877.5,461.51,-1339.01,0
S1M,27,CE,2026-08-31 14:35:00,2026-08-31 14:39:00,24240.8,24224.2,2026-08-31 15:05:00,24247.3,next_choch,6.5,422.5,461.99,-39.49,0
S1M,28,PE,2026-09-01 09:15:00,2026-09-01 09:22:00,24178.0,24258.0,2026-09-01 10:48:00,24196.4,next_choch,-18.4,-1196.0,460.87,-1656.87,0
S1M,29,CE,2026-09-01 10:48:00,2026-09-01 10:50:00,24201.0,24181.2,2026-09-01 12:51:00,24245.0,next_choch,44.0,2860.0,461.85,2398.15,0
S1M,30,PE,2026-09-01 12:51:00,2026-09-01 12:54:00,24241.0,24264.7,2026-09-02 14:32:00,24038.4,next_choch,202.6,13169.0,461.35,12707.65,0
S1M,31,CE,2026-09-02 14:32:00,2026-09-02 14:33:00,24047.0,24005.3,2026-09-02 14:43:00,24025.7,next_choch,-21.3,-1384.5,458.27,-1842.77,0
S1M,32,PE,2026-09-02 14:43:00,2026-09-02 14:44:00,24020.6,24044.0,2026-09-02 15:22:00,24008.3,next_choch,12.3,799.5,458.09,341.41,0
S1M,33,PE,2026-09-02 15:25:00,2026-09-02 15:26:00,24000.0,24009.5,2026-09-03 09:15:00,24085.0,stop_loss,-85.0,-5525.0,458.0,-5983.0,0
S1M,34,CE,2026-09-03 09:15:00,2026-09-03 09:16:00,24124.0,23995.0,2026-09-03 09:22:00,24101.0,next_choch,-23.0,-1495.0,459.56,-1954.56,0
S1M,35,PE,2026-09-03 09:22:00,2026-09-03 09:24:00,24079.0,24107.6,2026-09-03 09:30:00,24107.6,stop_loss,-28.6,-1859.0,459.2,-2318.2,0
S1M,36,CE,2026-09-03 09:30:00,2026-09-03 09:33:00,24114.0,24075.6,2026-09-03 10:13:00,24131.9,next_choch,17.9,1163.5,459.98,703.52,0
S1M,37,PE,2026-09-03 10:13:00,2026-09-03 10:15:00,24117.0,24135.0,2026-09-03 11:35:00,24095.7,next_choch,21.3,1384.5,459.72,924.78,0
S1M,38,PE,2026-09-03 11:41:00,2026-09-03 11:47:00,24075.9,24090.5,2026-09-03 12:54:00,24042.0,next_choch,33.9,2203.5,458.98,1744.52,0
S1M,39,PE,2026-09-03 13:01:00,2026-09-03 13:02:00,24028.7,24045.0,2026-09-03 13:05:00,24045.0,stop_loss,-16.3,-1059.5,458.31,-1517.81,0
S1M,40,CE,2026-09-03 13:05:00,2026-09-03 13:11:00,24046.5,24031.1,2026-09-03 13:21:00,24036.5,next_choch,-10.0,-650.0,458.42,-1108.42,0
S1M,41,PE,2026-09-03 13:21:00,2026-09-03 13:23:00,24030.1,24050.0,2026-09-03 13:33:00,24050.0,stop_loss,-19.9,-1293.5,458.34,-1751.84,0
S1M,42,CE,2026-09-03 14:20:00,2026-09-03 14:29:00,24041.0,24026.1,2026-09-03 14:40:00,24026.1,stop_loss,-14.9,-968.5,458.26,-1426.76,0
S1M,43,PE,2026-09-03 14:40:00,2026-09-03 14:43:00,24022.5,24045.9,2026-09-03 14:56:00,24015.4,next_choch,7.1,461.5,458.14,3.36,0
S1M,44,PE,2026-09-03 15:05:00,2026-09-03 15:07:00,24002.0,24027.0,2026-09-04 09:15:00,24041.0,stop_loss,-39.0,-2535.0,457.91,-2992.91,0
S1M,45,CE,2026-09-04 09:40:00,2026-09-04 09:45:00,24048.0,24029.9,2026-09-04 12:12:00,24080.0,next_choch,32.0,2080.0,459.06,1620.94,0
S1M,46,PE,2026-09-04 12:12:00,2026-09-04 12:13:00,24075.0,24090.0,2026-09-04 12:49:00,24065.5,next_choch,9.5,617.5,459.03,158.47,0
S1M,47,CE,2026-09-04 12:49:00,2026-09-04 12:53:00,24068.0,24056.0,2026-09-04 12:56:00,24056.0,stop_loss,-12.0,-780.0,458.76,-1238.76,0
