instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13154818,51386,NIFTY2651924100CE,NIFTY,0,5/19/2026,24100,0.05,65,CE,NFO-OPT,NFO
13155074,51387,NIFTY2651924100PE,NIFTY,0,5/19/2026,24100,0.05,65,PE,NFO-OPT,NFO
13154306,51384,NIFTY2651924050CE,NIFTY,0,5/19/2026,24050,0.05,65,CE,NFO-OPT,NFO
13154562,51385,NIFTY2651924050PE,NIFTY,0,5/19/2026,24050,0.05,65,PE,NFO-OPT,NFO
13155330,51388,NIFTY2651924150CE,NIFTY,0,5/19/2026,24150,0.05,65,CE,NFO-OPT,NFO
13155586,51389,NIFTY2651924150PE,NIFTY,0,5/19/2026,24150,0.05,65,PE,NFO-OPT,NFO
13153794,51382,NIFTY2651924000CE,NIFTY,0,5/19/2026,24000,0.05,65,CE,NFO-OPT,NFO
13154050,51383,NIFTY2651924000PE,NIFTY,0,5/19/2026,24000,0.05,65,PE,NFO-OPT,NFO
13155842,51390,NIFTY2651924200CE,NIFTY,0,5/19/2026,24200,0.05,65,CE,NFO-OPT,NFO
13156098,51391,NIFTY2651924200PE,NIFTY,0,5/19/2026,24200,0.05,65,PE,NFO-OPT,NFO
13153282,51380,NIFTY2651923950CE,NIFTY,0,5/19/2026,23950,0.05,65,CE,NFO-OPT,NFO
13153538,51381,NIFTY2651923950PE,NIFTY,0,5/19/2026,23950,0.05,65,PE,NFO-OPT,NFO
13156866,51394,NIFTY2651924250CE,NIFTY,0,5/19/2026,24250,0.05,65,CE,NFO-OPT,NFO
13157122,51395,NIFTY2651924250PE,NIFTY,0,5/19/2026,24250,0.05,65,PE,NFO-OPT,NFO
13152770,51378,NIFTY2651923900CE,NIFTY,0,5/19/2026,23900,0.05,65,CE,NFO-OPT,NFO
13153026,51379,NIFTY2651923900PE,NIFTY,0,5/19/2026,23900,0.05,65,PE,NFO-OPT,NFO
13157378,51396,NIFTY2651924300CE,NIFTY,0,5/19/2026,24300,0.05,65,CE,NFO-OPT,NFO
13157634,51397,NIFTY2651924300PE,NIFTY,0,5/19/2026,24300,0.05,65,PE,NFO-OPT,NFO
