instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
256265,1001,"NIFTY 50","NIFTY 50",0.00,17-07-2025,0.00,0.00,0,EQ,INDICES,NSE
9016578,35221,NIFTY25DEC30000CE,NIFTY,0.00,24-12-2025,30000.00,0.05,75,CE,NFO-OPT,NFO
9016834,35222,NIFTY25DEC30000PE,NIFTY,0.00,24-12-2025,30000.00,0.05,75,PE,NFO-OPT,NFO
9018626,35229,NIFTY26JUN30000CE,NIFTY,0.00,25-06-2026,30000.00,0.05,75,CE,NFO-OPT,NFO
9019138,35231,NIFTY26JUN30000PE,NIFTY,0.00,25-06-2026,30000.00,0.05,75,PE,NFO-OPT,NFO
9020162,35235,NIFTY26DEC30000CE,NIFTY,0.00,31-12-2026,30000.00,0.05,75,CE,NFO-OPT,NFO
9020674,35237,NIFTY26DEC30000PE,NIFTY,0.00,31-12-2026,30000.00,0.05,75,PE,NFO-OPT,NFO
9027074,35262,NIFTY27JUN30000CE,NIFTY,0.00,24-06-2027,30000.00,0.05,75,CE,NFO-OPT,NFO
9027330,35263,NIFTY27JUN30000PE,NIFTY,0.00,24-06-2027,30000.00,0.05,75,PE,NFO-OPT,NFO
9048578,35346,NIFTY27DEC30000CE,NIFTY,0.00,30-12-2027,30000.00,0.05,75,CE,NFO-OPT,NFO
9048834,35347,NIFTY27DEC30000PE,NIFTY,0.00,30-12-2027,30000.00,0.05,75,PE,NFO-OPT,NFO
9050114,35352,NIFTY28JUN30000CE,NIFTY,0.00,29-06-2028,30000.00,0.05,75,CE,NFO-OPT,NFO
9050370,35353,NIFTY28JUN30000PE,NIFTY,0.00,29-06-2028,30000.00,0.05,75,PE,NFO-OPT,NFO
9392130,36688,NIFTY25DEC19500CE,NIFTY,0.00,24-12-2025,19500.00,0.05,75,CE,NFO-OPT,NFO
9675522,37795,NIFTY25DEC23000CE,NIFTY,0.00,24-12-2025,23000.00,0.05,75,CE,NFO-OPT,NFO
9675778,37796,NIFTY25DEC23000PE,NIFTY,0.00,24-12-2025,23000.00,0.05,75,PE,NFO-OPT,NFO
